species;xcoord;ycoord
CHASTR;760298.5599;6279032.678
CHASTR;709239.3465;6243241.933
CHASTR;708305.6807;6242627.69
CHASTR;805903.3515;6308968.425
CHASTR;811977.192;6307851.383
CHASTR;811811.7554;6307720.322
CHASTR;811910.7706;6307924.559
CHASTR;708230.9719;6242556.78
CHASTR;708390.0089;6242608.682
CHASTR;707094.1566;6237732.056
CHASTR;704213.1976;6267416.773
CHASTR;702306.6852;6204931.972
CHASTR;698536.8669;6199521.493
CHASTR;695578.2561;6209733.542
CHASTR;701646.7324;6215415.902
CHASTR;702715.6419;6212676.689
CHASTR;766958.454;6292647.922
CHASTR;767048.9686;6272696.334
CHASTR;767513.0496;6273747.051
CHASTR;833221.9245;6321334.617
CHASTR;776749.4232;6319138.672
CHASTR;762990.6692;6269618.303
CHASTR;836420.71;6312692.322
CHASTR;696618.5607;6199155.276
CHASTR;753711.5467;6266635.711
CHASTR;724950.478;6279977.375
CHASTR;741157.3419;6310165.091
CHASTR;667376.0819;6180135.048
CHASTR;693269.8949;6204485.382
CHASTR;693197.7084;6204556.715
CHASTR;693283.9866;6204554.12
CHASTR;693283.9866;6204554.12
CHASTR;693255.9624;6204448.202
CHASTR;700830.1656;6209995.112
CHASTR;761379.7874;6283553.41
CHASTR;718705.859;6240727.291
