"ACTR"	"CIMA"	"COCH"	"COCO"	"COFR"	"ESAS"	"FOMA"	"FRPO"	"GEST"	"HYBO"	"MAMA"	"PADO"	"PEAS"	"PHBO"	"PLCU"	"PYJO"	"SATE"	"STPI"	"TEBO"	"TUNI"	"ZOBO"	"ZOOL"
"238"	5	0	0	2	0	0	2	0	1	2	0	0	0	0	0	0	6	0	0	0	2	0
"239"	3	0	0	2	1	4	10	0	1	1	0	0	0	0	0	0	2	1	0	0	0	0
"240"	5	0	2	2	4	0	6	0	0	0	0	1	0	0	8	0	2	0	0	0	1	0
"241"	1	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	4	2	0	0	3	2
"242"	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	2	2	0	0	2	0
"243"	1	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	8	0	0	0	2	0
"244"	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0
"245"	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	6	2	0	0	1	0
"246"	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	4	4	0	0	2	0
"247"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
"248"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
"249"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"250"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"251"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	2
"252"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	2
"253"	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	4	0	0	0	4	0
"254"	0	0	0	0	0	0	6	0	2	1	0	0	0	0	0	0	4	2	1	0	4	0
"255"	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	6	2	0	2	4	0
"256"	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	4	0	0	0	3	0
"257"	0	0	0	0	1	4	4	0	0	0	0	0	0	0	0	0	4	0	1	0	5	0
"258"	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	4	0	0	1	2	0
"259"	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0
"260"	0	0	0	0	0	2	4	0	0	1	0	0	0	0	0	0	6	2	0	0	3	0
"261"	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	1	4	1
"262"	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	6	2	0	0	7	0
"263"	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	4	0	0	1	7	0
"264"	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	6	0	0	1	4	0
"265"	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	5	0	0	0	7	0
"266"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	4	0
"267"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0
"268"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	10	3
"269"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0
"270"	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0
"271"	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	1	0	0	5	0
"272"	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0
"273"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
