"PLOT"	"X5_min"	"X10_min"	"X15_min"	"total"	"year"	"julian_date"	"altitude"	"PROPNATFOR"
1147	1	1	1	1	2006	331	209	0
1151	1	0	1	1	2006	331	191	0
1152	0	2	1	2	2006	331	206	0
1154	2	1	1	3	2006	331	213	0
1158	0	3	1	3	2006	332	189	0
1159	1	1	0	1	2006	332	178	0
1160	2	2	2	3	2006	332	187	0
1163	1	2	1	2	2006	332	189	0
1164	1	2	1	2	2006	332	180	0
1165	1	1	0	1	2006	332	190	0
1167	4	4	4	4	2006	332	189	0
1168	7	7	7	7	2006	332	188	0
1172	1	3	1	3	2006	332	138	0
1173	1	2	2	3	2006	332	138	0
1174	0	0	1	1	2006	332	134	0
1175	0	2	1	2	2006	332	114	0
1176	1	1	1	1	2006	332	137	0
1177	0	3	3	3	2006	332	139	0
1180	1	1	1	1	2006	332	108	0
1181	9	9	9	9	2006	332	137	0
1182	5	5	5	5	2006	332	139	0
1183	2	2	1	3	2006	332	138	0
1186	7	8	9	12	2006	332	107	0
1187	2	3	3	3	2006	337	119	0
1188	1	2	0	2	2006	337	133	0
1189	1	2	0	2	2006	337	131	0
1190	7	7	3	7	2006	337	58	0
1195	1	0	2	2	2006	337	66	0
1196	4	3	3	4	2006	337	66	0
1198	1	1	1	1	2006	337	61	0
1203	4	2	2	4	2006	337	61	0
1208	1	1	0	2	2006	337	62	0
1209	3	1	1	4	2006	337	60	0
1210	1	2	2	2	2006	338	125	0
1211	1	2	1	2	2006	338	114	0
1212	3	1	1	3	2006	338	106	0
1213	1	0	0	1	2006	338	283	0.501561280249805
1214	0	0	1	1	2006	338	303	0.593677118424462
1215	1	1	1	3	2006	338	259	0
1220	0	1	1	1	2006	338	275	0.0337457817772778
1224	1	1	0	2	2006	338	376	0
1225	1	1	0	2	2006	338	390	0
1234	3	3	2	2	2006	334	660	1
1235	2	2	1	2	2006	334	659	1
1236	2	2	2	2	2006	334	681	1
1237	2	2	2	2	2006	334	741	1
1238	1	2	2	2	2006	334	761	1
1239	3	3	2	3	2006	334	740	1
1240	1	2	1	2	2006	334	531	1
1246	2	0	0	2	2006	334	566	1
1247	0	1	1	1	2006	334	593	1
1248	3	1	1	4	2006	334	566	1
1249	2	1	1	2	2006	334	558	1
1250	3	3	2	3	2006	334	1201	1
1251	1	1	1	1	2006	334	927	1
1252	2	2	2	2	2006	334	957	1
1253	3	3	3	3	2006	334	1103	1
1254	2	2	0	2	2006	334	936	1
1255	2	2	1	2	2006	334	787	1
1256	1	0	0	1	2006	334	579	1
1258	2	2	3	3	2006	334	819	1
1259	1	1	0	1	2006	334	863	1
1260	4	2	2	5	2006	334	839	1
1261	2	3	1	4	2006	334	757	1
1262	1	1	1	1	2006	334	774	1
1263	3	1	1	3	2006	334	755	1
1265	2	2	1	2	2006	339	539	1
1266	1	1	2	2	2006	339	577	1
1271	1	1	2	2	2006	339	52	1
1272	2	2	2	2	2006	339	111	0.844213649851632
1276	4	4	2	4	2006	339	579	1
1279	2	1	1	3	2006	339	547	0.427177448500181
1286	3	1	1	3	2006	341	200	0
1287	1	2	3	3	2006	341	198	0
1288	2	2	3	5	2006	341	199	0
1289	4	3	2	4	2006	341	206	0
1290	0	0	1	1	2006	341	210	0
1294	2	2	4	4	2006	341	202	0
1295	4	4	2	4	2006	341	198	0
1296	2	4	4	4	2006	341	201	0
1297	2	2	3	3	2006	341	203	0
1301	2	3	4	5	2006	346	88	0
1303	2	3	4	5	2006	346	91	0
1304	2	2	2	2	2006	344	111	0
1305	1	2	2	3	2006	344	106	0
1307	3	3	3	3	2006	344	93	0
1313	2	2	2	2	2006	344	79	0
1314	2	3	0	3	2006	344	86	0
1315	2	3	3	3	2006	344	84	0
1316	3	3	3	3	2006	344	77	0
1317	4	4	4	4	2006	344	78	0
1319	3	3	3	4	2006	344	104	0
1320	4	3	4	4	2006	344	97	0
1321	2	3	3	3	2006	344	93	0
1322	4	4	0	4	2006	344	93	0
1324	1	2	3	3	2006	344	109	0
1325	1	2	2	2	2006	344	105	0
1326	1	2	3	5	2006	353	396	0.0116758241758242
1327	2	0	3	3	2006	353	446	0
1328	1	0	0	1	2006	353	340	0
1329	0	2	2	3	2006	353	500	1
1330	1	1	1	2	2006	353	381	0.622837370242215
1334	0	1	0	1	2006	340	534	1
1335	0	1	1	2	2006	340	486	1
1336	1	2	3	3	2006	340	452	1
1337	3	4	4	4	2006	340	434	1
1338	2	2	1	2	2006	340	389	0.0369565217391304
1339	0	1	1	1	2006	340	437	0
1340	2	1	0	2	2006	340	364	0.155090655509066
1341	3	4	4	4	2006	340	376	0
1344	3	5	0	5	2006	340	379	0
1350	0	0	1	1	2006	340	490	1
1351	0	1	1	2	2006	340	452	1
1352	0	0	3	3	2006	340	406	1
1353	0	1	0	1	2006	340	378	1
1357	2	2	2	3	2006	340	567	1
1359	1	1	1	1	2006	340	504	1
1368	3	3	3	3	2006	352	156	0
1369	1	4	3	4	2006	352	151	0
1370	1	1	1	1	2006	352	152	0
1371	2	3	3	3	2006	352	151	0
1372	3	3	4	5	2006	352	162	0
1373	1	1	1	1	2006	352	168	0
1375	3	3	3	3	2006	352	168	0
1376	3	1	1	3	2006	352	166	0
1377	3	3	2	3	2006	352	164	0.00015271838729383
1378	2	2	3	3	2006	352	174	0
1379	1	1	1	1	2006	352	163	0
1380	1	1	1	1	2006	352	167	0
1381	4	7	7	7	2006	352	163	0
1382	2	1	2	2	2006	352	150	0
1384	2	2	3	3	2006	352	153	0
1385	3	3	2	3	2006	352	157	0
1393	2	2	2	2	2006	353	109	0
1394	2	1	1	2	2006	345	136	0
1395	0	1	1	2	2006	345	122	0
1396	6	6	5	6	2006	345	123	0
1397	1	2	2	2	2006	345	135	0
1398	2	2	2	2	2006	345	142	0
1399	7	7	5	7	2006	345	141	0
1400	0	1	2	2	2006	345	132	0
1401	3	3	0	3	2006	345	120	0
1402	4	4	4	4	2006	345	116	0
1403	2	2	1	2	2006	345	118	0.181946403385049
1404	1	2	0	2	2006	345	120	0
1405	1	2	1	2	2006	345	132	0
1406	3	3	3	3	2006	345	141	0
1409	1	0	1	1	2006	345	122	0
1410	4	2	2	4	2006	345	124	0
1411	2	0	2	2	2006	345	137	0
1413	2	3	3	3	2006	346	113	0
1417	1	0	0	1	2006	351	828	1
1419	0	1	0	1	2006	351	797	1
1427	1	1	1	1	2006	351	681	1
1428	2	2	2	2	2006	348	520	0.000829187396351575
1429	0	0	1	1	2006	348	530	0.183716075156576
1430	2	1	0	3	2006	348	483	0.232868405093996
1431	2	3	2	4	2006	348	422	0.288288288288288
1432	5	4	3	5	2006	348	371	0.26417445482866
1433	0	1	0	1	2006	348	437	0
1434	0	0	4	4	2006	348	499	0
1435	4	4	4	4	2006	348	379	0
1436	2	0	3	5	2006	348	465	0.30381679389313
1437	1	1	0	1	2006	348	419	1
1438	0	1	0	1	2006	348	381	0.916750250752257
1439	2	3	1	4	2006	348	348	0.862676056338028
1440	1	1	0	2	2006	348	352	0.89533932951758
1441	0	1	1	2	2006	348	377	0.632194244604317
1442	1	1	3	4	2006	348	413	0.459905660377358
1445	1	0	0	1	2006	348	454	0
1447	2	0	2	2	2006	348	357	0.000628535512256443
1448	2	2	2	2	2006	348	323	0.217100868403474
1449	4	3	4	4	2006	348	308	0.309545875810936
1451	0	1	1	1	2006	348	293	0.371165644171779
1452	2	2	1	2	2006	348	333	0.346646571213263
1453	1	1	1	1	2006	348	304	0.304812834224599
1458	1	1	1	1	2006	348	315	0
1462	1	1	0	1	2006	348	348	0
1463	2	3	2	3	2006	359	382	0.653501843075303
1464	1	1	0	1	2006	359	189	0.0762267121490422
1465	4	5	4	5	2006	346	266	0.320970042796006
1468	5	5	5	5	2006	355	121	0
1469	7	6	6	7	2006	355	116	0
1470	1	0	1	2	2006	353	130	0
1471	0	1	1	1	2006	353	136	0
1476	3	3	3	3	2006	347	864	1
1478	2	4	4	4	2006	347	793	1
1479	4	3	4	5	2006	347	793	1
1481	1	0	1	1	2006	347	740	1
1483	3	2	3	3	2006	347	920	1
1484	3	2	3	4	2006	347	936	1
1485	2	1	2	5	2006	347	955	1
1486	1	0	2	2	2006	347	1046	1
1487	2	1	1	3	2006	347	1184	1
1488	2	1	0	2	2006	347	1205	1
1489	2	3	2	5	2006	347	1078	1
1490	3	3	2	3	2006	347	763	1
1491	3	3	2	3	2006	347	783	1
1492	3	4	2	4	2006	347	817	1
1493	2	1	1	2	2006	347	830	1
1494	1	2	1	2	2006	347	847	1
1495	4	4	4	4	2006	347	854	1
