;species;xcoord;ycoord
17751;TIMLEP;746847.7867;6289412.876
17752;TIMLEP;736941.8071;6274782.093
17753;TIMLEP;727408.205;6283196.488
17754;TIMLEP;726462.7901;6283054.681
17755;TIMLEP;726202.7038;6282989.48
17756;TIMLEP;725981.0556;6283056.256
17757;TIMLEP;732241.7833;6267687.146
17758;TIMLEP;733656.9903;6266393.997
17759;TIMLEP;741383.9874;6270559.122
17760;TIMLEP;719279.3952;6282905.649
17761;TIMLEP;718770.3802;6283262.102
17762;TIMLEP;715195.1788;6252639.836
17763;TIMLEP;715566.5506;6252546.799
17764;TIMLEP;714979.6647;6252838.747
17765;TIMLEP;714969.5061;6252813.824
17766;TIMLEP;717387.9212;6284962.013
17767;TIMLEP;717433.2713;6284959.137
17768;TIMLEP;714675.0563;6254344.679
17769;TIMLEP;714424.2241;6254204.717
17770;TIMLEP;715104.7103;6254930.588
17771;TIMLEP;714357.7908;6254329.842
17772;TIMLEP;714257.4487;6254575.72
17773;TIMLEP;727257.0076;6283300.198
17774;TIMLEP;713527.0605;6290543.791
17775;TIMLEP;727396.2465;6284888.834
17776;TIMLEP;727311.8242;6284989.716
17777;TIMLEP;727223.9232;6283280.496
17778;TIMLEP;724984.5235;6282250.3
17779;TIMLEP;724846.8751;6282237.092
17780;TIMLEP;726883.0412;6283604.682
17781;TIMLEP;726893.0448;6283586.276
17782;TIMLEP;722703.2245;6281109.264
17783;TIMLEP;725201.2961;6280256.321
17784;TIMLEP;741591.2959;6270340.285
17785;TIMLEP;724658.0173;6282086.988
17786;TIMLEP;724785.3284;6282227.072
17787;TIMLEP;763992.5472;6297232.607
17788;TIMLEP;708652.48;6285077.189
17789;TIMLEP;708377.7017;6284945.793
17790;TIMLEP;707915.8138;6284682.811
17791;TIMLEP;708739.7633;6285143.656
17792;TIMLEP;741016.2568;6269633.108
17793;TIMLEP;743341.2566;6270296.682
17794;TIMLEP;713694.6632;6289561.961
17795;TIMLEP;741952.9287;6304838.817
17796;TIMLEP;743452.6366;6270174.398
17797;TIMLEP;713631.7812;6289635.952
17798;TIMLEP;713671.8324;6289568.914
17799;TIMLEP;713634.5361;6289629.512
17800;TIMLEP;709538.1664;6284968.541
17801;TIMLEP;709709.3604;6285026.701
17802;TIMLEP;709684.5302;6285014.327
17803;TIMLEP;709571.5837;6284957.922
17804;TIMLEP;739588.3131;6271847.379
17805;TIMLEP;731195.3788;6282850.481
17806;TIMLEP;726897.4714;6283741.998
17807;TIMLEP;741500.9427;6270319.023
17808;TIMLEP;741442.5507;6270519.155
17809;TIMLEP;741215.1363;6270209.025
17810;TIMLEP;714249.4763;6285752.84
17811;TIMLEP;741110.9589;6274115.714
17812;TIMLEP;714538.1259;6286171.36
17813;TIMLEP;679011.1793;6200101.48
17814;TIMLEP;678890.6007;6199979.551
17815;TIMLEP;714507.7443;6286052.377
17816;TIMLEP;724583.114;6282044.578
17817;TIMLEP;738764.9287;6304686.763
17818;TIMLEP;704701.4438;6275864.108
17819;TIMLEP;714904.8385;6254642.333
17820;TIMLEP;711691.9778;6245029.918
17821;TIMLEP;741254.2629;6270424.016
17822;TIMLEP;714723.9593;6240809.18
17823;TIMLEP;711145.9356;6245116.988
17824;TIMLEP;741245.2384;6270218.667
17825;TIMLEP;747846.853;6289969.316
17826;TIMLEP;747802.1578;6289962.757
17827;TIMLEP;746873.3936;6289723.91
17828;TIMLEP;704291.9561;6276374.182
17829;TIMLEP;714614.0429;6253621.013
17830;TIMLEP;714457.6936;6285997.918
17831;TIMLEP;741320.1024;6270684.305
